lon,lat,ï..EIN,NAME,STREET,ZIP,SUBSECTION,CLASSIFICATION,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME,NTEE,codes,ZIP_FIVE,Location
-76.6089054,39.3061312,475535634,OPEN WORKS INC,1400 GREENMOUNT AVE,21202-3921,3,2000,242619,110047,110047,A20,NA,A,"Arts, Culture and Humanities",21202,"1400 GREENMOUNT AVE, BALTIMORE, MD, 21202"
-76.6013148,39.3338461,522276025,WOMBWORK PRODUCTIONS INC,3724 KIMBLE RD,21218-2028,3,2000,10558,76447,76447,A20,NA,A,"Arts, Culture and Humanities",21218,"3724 KIMBLE RD, BALTIMORE, MD, 21218"
-76.6174812,39.2932985,815132657,BALTIMORE ARTS MOVEMENT INC,110 W SARATOGA ST APT 4,21201-3523,3,2000,NA,NA,NA,A20,NA,A,"Arts, Culture and Humanities",21201,"110 W SARATOGA ST APT 4, BALTIMORE, MD, 21201"
-76.6014519,39.3502718,815344976,INDEPENDENT ARTIST AND MUSICIAN COALITION,5113 SAINT GEORGES AVE,21212-4343,3,1200,NA,NA,NA,A20,NA,A,"Arts, Culture and Humanities",21212,"5113 SAINT GEORGES AVE, BALTIMORE, MD, 21212"
-76.61478050000001,39.2896689,900091850,BALTIMORE OFFICE OF PROMOTION AND THE ARTS,10 E BALTIMORE ST 10TH FLOOR,21202-1647,3,1000,4553563,6058142,5602723,A20,NA,A,"Arts, Culture and Humanities",21202,"10 E BALTIMORE ST 10TH FLOOR, BALTIMORE, MD, 21202"
-76.6104725,39.28825,814042775,CATHERINE PUGH INAUGURAL COMMITTEE INC,300 EAST LOMBARD ST STE FL18,21202-3219,4,3000,NA,NA,NA,A20,NA,A,"Arts, Culture and Humanities",21202,"300 EAST LOMBARD ST STE FL18, BALTIMORE, MD, 21202"
-76.5711287,39.3858084,521752334,BALTIMORE COUNTY SENIOR CRAFT GALLERY INC,1801 GLEN KEITH BOULEVARD,21286-8800,3,1000,0,0,0,A20,NA,A,"Arts, Culture and Humanities",21286,"1801 GLEN KEITH BOULEVARD, BALTIMORE, MD, 21286"
-76.6008334,39.3322127,521063458,BALTIMORE FOLK MUSIC SOCIETY INC,PO BOX 7134,21218-0134,3,1200,79523,62652,62652,A200,NA,A,"Arts, Culture and Humanities",21218,"PO BOX 7134, BALTIMORE, MD, 21218"
-76.61478050000001,39.2896689,521559145,BALTIMORES FESTIVAL OF THE ARTS INC,10 EAST BALTIMORE STREET 10TH FLOOR,21202-1647,3,1000,1312259,5367003,5367003,A200,NA,A,"Arts, Culture and Humanities",21202,"10 EAST BALTIMORE STREET 10TH FLOOR, BALTIMORE, MD, 21202"
-76.62479979999999,39.3540783,526044838,THE THREE ARTS CLUB OF HOMELAND INC,4 WYNDHURST AVE,21210-2406,3,1000,292122,87878,62615,A20Z,NA,A,"Arts, Culture and Humanities",21210,"4 WYNDHURST AVE, BALTIMORE, MD, 21210"
-76.6188277,39.3112959,521642402,MARYLAND CITIZENS FOR THE ARTS INC,120 W NORTH AVE APT 302,21201-5833,3,2000,580443,269233,269233,A20Z,NA,A,"Arts, Culture and Humanities",21201,"120 W NORTH AVE APT 302, BALTIMORE, MD, 21201"
-76.635687,39.3046053,263326310,TOGOLESE ASSOCIATION OF BALTIMORE,1807 PENNSYLVANIA AVE,21217-3214,3,1200,0,0,0,A23,NA,A,"Arts, Culture and Humanities",21217,"1807 PENNSYLVANIA AVE, BALTIMORE, MD, 21217"
-76.5921224,39.3433181,461807124,DAINTY IN PINK,4309 LOCH RAVEN BLVD,21218-1503,3,1200,432,4600,4600,A23,DUDES IN POWER,A,"Arts, Culture and Humanities",21218,"4309 LOCH RAVEN BLVD, BALTIMORE, MD, 21218"
-76.6121893,39.2903848,465251420,NEW AFRICA COMMUNITY BUILDERS,PO BOX 26573,21207-0373,3,1470,0,0,0,A23,NA,A,"Arts, Culture and Humanities",21207,"PO BOX 26573, BALTIMORE, MD, 21207"
-76.6121893,39.2903848,521708253,GRIOTS CIRCLE OF MARYLAND INC,PO BOX 68054,21215-0024,3,1000,0,0,0,A23,NA,A,"Arts, Culture and Humanities",21215,"PO BOX 68054, BALTIMORE, MD, 21215"
-76.6425144,39.309701,811057221,ARCH SOCIAL COMMUNITY NETWORK INC,2426 PENNSYLVANIA AVE,21217-1722,3,1200,0,0,0,A23,NA,A,"Arts, Culture and Humanities",21217,"2426 PENNSYLVANIA AVE, BALTIMORE, MD, 21217"
-76.5671799,39.3488007,811225063,THE MALIAN ASSOCIATION OF BALTIMORE INCORPORATED,2817 RUECKERT AVE,21214-2506,3,1230,NA,NA,NA,A23,NA,A,"Arts, Culture and Humanities",21214,"2817 RUECKERT AVE, BALTIMORE, MD, 21214"
-76.6143623,39.2998356,811727629,UNITED AFRICAN COLLEGIATE,900 SAINT PAUL STREET,21202-2413,3,1000,NA,NA,NA,A23,NA,A,"Arts, Culture and Humanities",21202,"900 SAINT PAUL STREET, BALTIMORE, MD, 21202"
-76.61570569999999,39.359008,821503506,MICA GROUP INC,5301 SPRINGLAKE WAY,21212-3413,3,1200,NA,NA,NA,A23,NA,A,"Arts, Culture and Humanities",21212,"5301 SPRINGLAKE WAY, BALTIMORE, MD, 21212"
-76.575665,39.292034,521919103,HISPANICS IN HISTORY CULTURAL ORGANIZATION INC,2915 E BALTIMORE ST,21224-1343,3,2000,0,0,0,A23,NA,A,"Arts, Culture and Humanities",21224,"2915 E BALTIMORE ST, BALTIMORE, MD, 21224"
-76.61423889999999,39.2901636,522169101,ITALIAN CULTURAL CENTER INC,19 EAST LAYETTE STREET,21202-0000,3,2000,0,0,0,A230,NA,A,"Arts, Culture and Humanities",21202,"19 EAST LAYETTE STREET, BALTIMORE, MD, 21202"
-76.6121893,39.2903848,521793327,CZECH AND SLOVAK HERITAGE ASSOC OF MARYLAND INCORPORATED,PO BOX 20261,21284-0261,3,1000,0,0,0,A230,NA,A,"Arts, Culture and Humanities",21284,"PO BOX 20261, BALTIMORE, MD, 21284"
-76.6140583,39.3026522,237400107,POLISH HERITAGE ASSN OF MARYLAND INC,1101 ST PAUL ST,21202-2619,3,1000,0,0,0,A23Z,NA,A,"Arts, Culture and Humanities",21202,"1101 ST PAUL ST, BALTIMORE, MD, 21202"
-76.6121893,39.2903848,521752103,NATIONAL ASSOCIATION OF BLACK STORYTELLERS INC,PO BOX 67722,21215-0018,3,1000,81139,111261,111261,A24Z,NA,A,"Arts, Culture and Humanities",21215,"PO BOX 67722, BALTIMORE, MD, 21215"
-76.69776680000001,39.3633386,200916545,TIZMORET INC,3415 CLARKS LANE,21215-2545,3,1270,13089,119444,119444,A25,NA,A,"Arts, Culture and Humanities",21215,"3415 CLARKS LANE, BALTIMORE, MD, 21215"
-76.62036499999999,39.297656,203479275,TRANSMODERN AGE INC,706 N HOWARD ST,21201-4609,3,1200,0,0,0,A25,NA,A,"Arts, Culture and Humanities",21201,"706 N HOWARD ST, BALTIMORE, MD, 21201"
-76.5616697,39.35253120000001,204308080,HAMILTON ARTS COLLECTIVE,5502 HARFORD RD,21214-2231,3,2000,0,0,0,A25,TOP FLOOR THEARTER,A,"Arts, Culture and Humanities",21214,"5502 HARFORD RD, BALTIMORE, MD, 21214"
-76.6453523,39.3320685,273840465,GUTIERREZ MEMORIAL FUND,2010 CLIPPER PARK RD STE 129,21211-1439,3,1000,0,0,0,A25,NA,A,"Arts, Culture and Humanities",21211,"2010 CLIPPER PARK RD STE 129, BALTIMORE, MD, 21211"
NA,NA,275365845,STAY CONNECTED OUTREACH COMMUNITY DEVELOPMENT CENTER INC,1138 N STRICKER ST,21217-2240,3,1000,NA,NA,NA,A25,STAY CONNECTED COMMUNITY CENTER,A,"Arts, Culture and Humanities",21217,"1138 N STRICKER ST, BALTIMORE, MD, 21217"
-76.6395823,39.3282228,455143051,CHARM CITY FRINGE,3443 ASH ST,21211-2309,3,1200,0,0,0,A25,NA,A,"Arts, Culture and Humanities",21211,"3443 ASH ST, BALTIMORE, MD, 21211"
-76.6152424,39.321285,475511592,EARLY BIRDS PLAYGROUP,2719 SAINT PAUL ST,21218-4333,3,1200,0,0,0,A25,NA,A,"Arts, Culture and Humanities",21218,"2719 SAINT PAUL ST, BALTIMORE, MD, 21218"
NA,NA,475577951,TUBA THE UGANDA-BALTIMORE ALLIANCE,2710 MANHATTAN AVE,21215-4119,3,1200,0,0,0,A25,NA,A,"Arts, Culture and Humanities",21215,"2710 MANHATTAN AVE, BALTIMORE, MD, 21215"
-76.65178999999999,39.26759819999999,522275407,ACCESS ART INC,2446 WASHINGTON BLVD,21230-1535,3,2000,98604,365458,365458,A25,NA,A,"Arts, Culture and Humanities",21230,"2446 WASHINGTON BLVD, BALTIMORE, MD, 21230"
NA,NA,522276602,WIDE ANGLE YOUTH MEDIA INC,2601 N HOWARD ST STE 160,21218-4964,3,1000,424732,550531,550531,A25,NA,A,"Arts, Culture and Humanities",21218,"2601 N HOWARD ST STE 160, BALTIMORE, MD, 21218"
-76.63063269999999,39.3313985,800300531,ART BLOCKS INC,834 W 36TH ST,21211-2507,3,1000,0,0,0,A25,NA,A,"Arts, Culture and Humanities",21211,"834 W 36TH ST, BALTIMORE, MD, 21211"
-76.6492241,39.2961609,812940001,URBAN UPLIFT FOUNDATION,2001 HARLEM AVE,21217-1012,3,1200,NA,NA,NA,A25,NA,A,"Arts, Culture and Humanities",21217,"2001 HARLEM AVE, BALTIMORE, MD, 21217"
-76.62031929999999,39.3194384,520698849,YOUNG AUDIENCES OF MARYLAND INC,2600 N HOWARD ST STE 1300,21218-4888,3,2000,1520316,3210650,2859148,A250,NA,A,"Arts, Culture and Humanities",21218,"2600 N HOWARD ST STE 1300, BALTIMORE, MD, 21218"
-76.61881989999999,39.2931481,462517406,BROMO TOWER ARTS & ENTERTAINMENT INC,218 W SARATOGA ST 2ND FLR,21201-3532,3,1200,29459,82860,82860,A26,NA,A,"Arts, Culture and Humanities",21201,"218 W SARATOGA ST 2ND FLR, BALTIMORE, MD, 21201"
-76.6201287,39.34061579999999,300690654,CSRM FOUNDATION INC,4303 N CHARLES ST,21218-1054,3,1000,NA,NA,NA,A30,NA,A,"Arts, Culture and Humanities",21218,"4303 N CHARLES ST, BALTIMORE, MD, 21218"
-76.596631,39.34893700000001,753195130,CIVIC FRAME INC,4678 MARBLE HALL RD,21239-3937,3,2000,NA,NA,NA,A30,NA,A,"Arts, Culture and Humanities",21239,"4678 MARBLE HALL RD, BALTIMORE, MD, 21239"
-76.6206067,39.3348065,454375776,LIMBIX PRODUCTIONS INC,100 W UNIVERSITY PKWY 8D,21210-3454,3,1700,0,0,0,A31,NA,A,"Arts, Culture and Humanities",21210,"100 W UNIVERSITY PKWY 8D, BALTIMORE, MD, 21210"
-76.63838319999999,39.3289463,461086258,MAGFEST INC,PO BOX 4705,21211-0705,3,2000,661616,1490898,1424210,A31,NA,A,"Arts, Culture and Humanities",21211,"PO BOX 4705, BALTIMORE, MD, 21211"
-76.6723806,39.3231226,813631171,BALTIMORE FILMMAKERS COLLECTIVE,3206 N HILTON ST,21216-1431,3,1000,0,0,124337,A31,NA,A,"Arts, Culture and Humanities",21216,"3206 N HILTON ST, BALTIMORE, MD, 21216"
-76.6129638,39.3638321,522005280,FORMSTONE FOUNDATION INC,333 E BELVEDERE AVE,21212-3034,3,1000,NA,NA,NA,A31,NA,A,"Arts, Culture and Humanities",21212,"333 E BELVEDERE AVE, BALTIMORE, MD, 21212"
-76.6099962,39.2921389,10808098,INDEPENDENT WORLD TELEVISION INC,231 HOLLIDAY ST,21202-3612,3,1000,5027420,2759385,2734626,A32,NA,A,"Arts, Culture and Humanities",21202,"231 HOLLIDAY ST, BALTIMORE, MD, 21202"
-76.6143781,39.2937273,760825535,COMMUNITY MEDIA OF BALTIMORE CITY,326 ST PAUL PLACE,21202-2125,3,1200,496987,20214,3861,A32,NA,A,"Arts, Culture and Humanities",21202,"326 ST PAUL PLACE, BALTIMORE, MD, 21202"
-76.534345,39.3635639,521173047,RADIO READING NETWORK OF MARYLAND INC,3501 TAYLOR AVE,21236-4406,3,1200,204416,98647,98647,A32Z,NA,A,"Arts, Culture and Humanities",21236,"3501 TAYLOR AVE, BALTIMORE, MD, 21236"
-76.58498879999999,39.3475192,30489288,SANKOFA INC,1700 E COLD SPRING LN,21251-0001,3,1000,0,0,0,A33,NA,A,"Arts, Culture and Humanities",21251,"1700 E COLD SPRING LN, BALTIMORE, MD, 21251"
-76.6302717,39.3466054,43835193,NATIONAL BOOK CRITICS CIRCLE,4600 KESWICK RD,21210-2517,3,3000,26537,42296,42296,A33,NA,A,"Arts, Culture and Humanities",21210,"4600 KESWICK RD, BALTIMORE, MD, 21210"
-76.5983991,39.3763432,200704259,BALTIMORE REVIEW,6514 MAPLEWOOD RD,21212-2008,3,3000,0,0,0,A33,NA,A,"Arts, Culture and Humanities",21212,"6514 MAPLEWOOD RD, BALTIMORE, MD, 21212"
-76.6121893,39.2903848,205546396,BARRELHOUSE INC,PO BOX 17598,21297-1598,3,1000,0,0,0,A33,NA,A,"Arts, Culture and Humanities",21297,"PO BOX 17598, BALTIMORE, MD, 21297"
-76.7254783,39.3722953,472566221,AVNEI CHOSHEN FOUNDATION INC,115 SUDBROOK LANE,21208-4130,3,1000,1,1,NA,A33,NA,A,"Arts, Culture and Humanities",21208,"115 SUDBROOK LANE, BALTIMORE, MD, 21208"
-76.6126366,39.3323363,521047587,BRICKHOUSE BOOKS INC,306 SUFFOLK RD,21218-2521,3,3000,0,0,0,A33,NA,A,"Arts, Culture and Humanities",21218,"306 SUFFOLK RD, BALTIMORE, MD, 21218"
-76.61667609999999,39.3208812,522085844,BALTIMORE TEACHER NETWORK,2701 N CHARLES ST STE 401,21218-5061,3,2000,381923,6557941,6557941,A33,NA,A,"Arts, Culture and Humanities",21218,"2701 N CHARLES ST STE 401, BALTIMORE, MD, 21218"
-76.6186196,39.3198045,522085932,RIPM CONSORTIUM LTD,2616 MARYLAND AVE,21218-4517,3,1000,3115535,1016198,1016198,A33,NA,A,"Arts, Culture and Humanities",21218,"2616 MARYLAND AVE, BALTIMORE, MD, 21218"
-76.6121893,39.2903848,521007618,ALTERNATIVE PRESS CENTRE INC,PO BOX 13127,21203-3127,3,1200,84681,147135,133979,A33Z,NA,A,"Arts, Culture and Humanities",21203,"PO BOX 13127, BALTIMORE, MD, 21203"
-76.617134,39.3148093,203268463,YOUR PUBLIC RADIO HOLDING CORPORATION,2216 N CHARLES ST,21218-5718,3,1000,0,0,0,A34,NA,A,"Arts, Culture and Humanities",21218,"2216 N CHARLES ST, BALTIMORE, MD, 21218"
-76.6144645,39.2873609,208952062,BALTIMORE COMMUNITY RADIO COALITION INC,100 LIGHT ST FL 1100,21202-1185,3,1200,0,0,0,A34,NA,A,"Arts, Culture and Humanities",21202,"100 LIGHT ST FL 1100, BALTIMORE, MD, 21202"
-76.617134,39.3148093,311770828,YOUR PUBLIC RADIO CORPORATION,2216 NORTHS CHARLES STREET,21218-0000,3,1000,9545528,5746880,5746880,A34,NA,A,"Arts, Culture and Humanities",21218,"2216 NORTHS CHARLES STREET, BALTIMORE, MD, 21218"
-76.6138101,39.3094548,471150456,SECTION 1 INC,124 B STATION NORTH MEWS,21202-3055,3,1000,0,0,0,A40,NA,A,"Arts, Culture and Humanities",21202,"124 B STATION NORTH MEWS, BALTIMORE, MD, 21202"
-76.61881989999999,39.2931481,521210213,MARYLAND ART PLACE INC,218 W SARATOGA ST FL 2,21201-3532,3,1000,343176,253364,120444,A400,NA,A,"Arts, Culture and Humanities",21201,"218 W SARATOGA ST FL 2, BALTIMORE, MD, 21201"
-76.65322859999999,39.3676581,521409133,BALTIMORE CLAYWORKS INC,5707 SMITH AVE,21209-3609,3,1200,2808028,1054508,1021100,A400,NA,A,"Arts, Culture and Humanities",21209,"5707 SMITH AVE, BALTIMORE, MD, 21209"
-76.6140704,39.3066655,300507437,HENRY G PARKS FOUNDATION,1501 SAINT PAUL ST STE 119,21202-2861,3,1000,0,0,0,A50,NA,A,"Arts, Culture and Humanities",21202,"1501 SAINT PAUL ST STE 119, BALTIMORE, MD, 21202"
-76.6121893,39.2903848,383888146,POE BALTIMORE INC,PO BOX 23773,21203-5773,3,1200,88210,148449,125890,A50,NA,A,"Arts, Culture and Humanities",21203,"PO BOX 23773, BALTIMORE, MD, 21203"
-76.5672007,39.2777347,464275569,MID-ATLANTIC VINTAGE BIKES INC,3500 BOSTON STREET,21224-5251,3,1200,9950,10576,10576,A50,MAOSSA,A,"Arts, Culture and Humanities",21224,"3500 BOSTON STREET, BALTIMORE, MD, 21224"
-76.6219114,39.2925722,464637669,G KRUG & SON IRONWORKS MUSEUM INC,415 W SARATOGA ST,21201-1830,3,1000,0,0,0,A50,NA,A,"Arts, Culture and Humanities",21201,"415 W SARATOGA ST, BALTIMORE, MD, 21201"
-76.5085812,39.2436815,472336321,TURNER STATION HISTORY CENTER,323 SOLLERS POINT RD,21222-6169,3,2000,0,0,0,A50,NA,A,"Arts, Culture and Humanities",21222,"323 SOLLERS POINT RD, BALTIMORE, MD, 21222"
-76.60379089999999,39.2874005,522107879,MARYLAND AFRICAN AMERICAN MUSEUM CORPORATION,830 E PRATT ST,21202-4403,3,1200,NA,NA,NA,A50,NA,A,"Arts, Culture and Humanities",21202,"830 E PRATT ST, BALTIMORE, MD, 21202"
-76.6994768,39.3563279,721620682,THE SUGAR DIABETES ASSOCIATION INC,3907 FORDHAM CT,21215-2801,3,2000,0,0,0,A50,NA,A,"Arts, Culture and Humanities",21215,"3907 FORDHAM CT, BALTIMORE, MD, 21215"
-76.61116969999999,39.28876959999999,521470055,BALTIMORE COURT HOUSE & LAW MUSEUM INC,233 EAST REDWOOD STREET,21202-3332,3,1200,0,0,0,A50,NA,A,"Arts, Culture and Humanities",21202,"233 EAST REDWOOD STREET, BALTIMORE, MD, 21202"
-76.6024132,39.2839227,521645784,FRIENDS OF THE PRESIDENT STREET STATION INC,601 PRESIDENT ST,21202-4472,3,2000,0,0,0,A50,NA,A,"Arts, Culture and Humanities",21202,"601 PRESIDENT ST, BALTIMORE, MD, 21202"
-76.6034063,39.2849949,521308441,BALTIMORE PUBLIC WORKS MUSEUM INC,751 EASTERN AVE,21202-4320,3,2000,57420,609,609,A500,NA,A,"Arts, Culture and Humanities",21202,"751 EASTERN AVE, BALTIMORE, MD, 21202"
-76.5968188,39.3117513,521319585,GREAT BLACKS IN WAX MUSEUM INC,1601 E NORTH AVE # 03,21213-1409,3,1000,386971,638425,638425,A500,GREAT BLACKS IN WAX,A,"Arts, Culture and Humanities",21213,"1601 E NORTH AVE # 03, BALTIMORE, MD, 21213"
-76.6121893,39.2903848,521600878,PROJECT LIBERTY SHIP INC,PO BOX 25846,21224-0546,3,1000,2596915,847340,690929,A500,NA,A,"Arts, Culture and Humanities",21224,"PO BOX 25846, BALTIMORE, MD, 21224"
-76.6198354,39.2996609,521871769,EUBIE BLAKE NATIONAL JAZZ INSTITUTE AND CULTURAL CENTER INC,847 N HOWARD ST,21201-4605,3,1000,1491796,70493,68700,A500,NA,A,"Arts, Culture and Humanities",21201,"847 N HOWARD ST, BALTIMORE, MD, 21201"
-76.615717,39.290733,521755134,LILLIE CARROLL JACKSON MUSEUM INC,100 NORTH CHARLES STREET,21201-3805,3,1000,0,0,0,A50Z,NA,A,"Arts, Culture and Humanities",21201,"100 NORTH CHARLES STREET, BALTIMORE, MD, 21201"
